20140423 135134.594 [08996] CLI Starting up; pid 8996
20140423 135134.594 [08996] CLI Sauce Connect 4.1, build 905 bd71d37
20140423 135134.594 [08996] CLI Command line arguments: sc.exe -u TigerairQA -k ****
20140423 135135.793 [08996] CLI GET https://saucelabs.com/rest/v1/TigerairQA/tunnels?full=1 failed, response code: 401.
20140424 082644.528 [07248] KGP warning: no keepalive ack for > 5s
20140424 082752.538 [07248] KGP warning: no keepalive ack for > 5s
20140424 082753.538 [07248] KGP warning: no keepalive ack for > 5s
20140424 082754.538 [07248] KGP warning: no keepalive ack for > 5s
20140424 082755.538 [07248] KGP warning: no keepalive ack for > 5s
20140424 082756.538 [07248] KGP warning: no keepalive ack for > 5s
20140424 082757.538 [07248] KGP warning: no keepalive ack for > 5s
20140424 082758.538 [07248] KGP warning: no keepalive ack for > 5s
20140424 082759.538 [07248] KGP warning: no keepalive ack for > 5s
20140424 082800.538 [07248] KGP warning: no keepalive ack for > 5s
20140424 083042.562 [07248] KGP warning: no keepalive ack for > 5s
20140424 083043.562 [07248] KGP warning: no keepalive ack for > 5s
20140424 083044.562 [07248] KGP warning: no keepalive ack for > 5s
20140424 083045.562 [07248] KGP warning: no keepalive ack for > 5s
20140424 083046.290 [07248] PROXY 127.0.0.1:51064 <- bs.serving-sys.com:443 connection error: No error
20140424 083644.243 [07248] PROXY 127.0.0.1:51562 <- download.mozilla.org:80 connection error: No error
20140424 083652.627 [07248] KGP warning: no keepalive ack for > 5s
20140424 083653.627 [07248] KGP warning: no keepalive ack for > 5s
20140424 083657.346 [07248] PROXY 127.0.0.1:51595 <- bs.serving-sys.com:443 connection error: No error
20140424 084157.683 [07248] KGP warning: no keepalive ack for > 5s
20140424 084158.683 [07248] KGP warning: no keepalive ack for > 5s
20140424 084159.683 [07248] KGP warning: no keepalive ack for > 5s
20140424 084200.621 [07248] PROXY 127.0.0.1:51938 <- bs.serving-sys.com:443 connection error: No error
20140424 084549.095 [07248] PROXY 127.0.0.1:52286 <- bs.serving-sys.com:443 connection error: No error
20140424 084549.282 [07248] PROXY 127.0.0.1:52285 <- bs.serving-sys.com:443 connection error: No error
20140424 084553.281 [07248] PROXY 127.0.0.1:52321 <- bs.serving-sys.com:443 connection error: No error
20140424 084608.723 [07248] KGP warning: no keepalive ack for > 5s
20140424 085658.347 [07248] PROXY 127.0.0.1:52638 <- bs.serving-sys.com:443 connection error: No error
20140424 085901.349 [07248] PROXY 127.0.0.1:52986 <- bs.serving-sys.com:443 connection error: No error
20140424 085906.125 [07248] PROXY 127.0.0.1:52977 <- googleads.g.doubleclick.net:80 connection error: No error
20140424 085906.882 [07248] KGP warning: no keepalive ack for > 5s
20140424 085907.882 [07248] KGP warning: no keepalive ack for > 5s
20140424 085912.198 [07248] PROXY 127.0.0.1:52973 <- www.travelnow.com:443 DNS error: non-recoverable failure in name resolution (11003)
20140424 090117.901 [07248] KGP warning: no keepalive ack for > 5s
20140424 091515.045 [07248] KGP warning: no keepalive ack for > 5s
20140424 100251.462 [07248] KGP warning: no keepalive ack for > 5s
20140424 101056.545 [07248] KGP warning: no keepalive ack for > 5s
20140424 101801.614 [07248] KGP warning: no keepalive ack for > 5s
20140424 101802.614 [07248] KGP warning: no keepalive ack for > 5s
